target,Prob_1,Prob_2,rho1_transit,err_rho1_transit_up,err_rho1_transit_low,rho2_transit,err_rho2_transit_up,err_rho2_transit_low,rho1_model,err_rho1_model_up,err_rho1_model_low,rho2_model,err_rho2_model_up,err_rho2_model_low
309.01,1.1563096341774084,98.8436903658226,1.172,0.227,0.149,2.383,0.423,0.342,2.0885466808067576,0.4051889843910139,0.4051889843910139,2.4332498176972877,0.4973883166439208,0.4973883166439208
601.01,99.90410059078829,0.09589940921170681,0.419,0.246,0.102,2.929,0.219,0.469,0.9739386913151975,0.22210119896612923,0.22210119896612923,3.895343957714431,0.20824925510272152,0.20824925510272152
815.0,99.99999999619213,3.807861650929183e-09,2.608,0.166,0.281,2.843,0.153,0.253,3.0073823536640703,0.1656550374575776,0.1656550374575776,7.2012342343505225,0.24159695139871928,0.24159695139871928
1699.0,99.99999999453138,5.4686252724887575e-09,1.236,0.294,0.309,2.381,0.539,0.508,1.671793520297797,0.017233381366736467,0.04846888509394631,12.677413327242903,0.62224854248384,0.7950953598404622
1768.0,89.88832387987634,10.111676120123649,0.808,0.059,0.125,0.796,0.104,0.128,1.0866934232908534,0.1584824538584897,0.1584824538584897,12.608501958397028,11.298593076404654,9.753192807595507
1797.0,99.9769148215154,0.02308517848461133,1.448,0.168,0.541,1.606,0.318,0.289,1.4278983072017581,0.06533295266791583,0.06533295266791583,30.60642954829018,17.751906428021336,17.751906428021336
