target,Prob_1,Prob_2,rho1_transit,err_rho1_transit_up,err_rho1_transit_low,rho2_transit,err_rho2_transit_up,err_rho2_transit_low,rho1_model,err_rho1_model_up,err_rho1_model_low,rho2_model,err_rho2_model_up,err_rho2_model_low
309.01,,,1.172,0.227,0.149,2.383,0.423,0.342,,,,,,
601.01,,,0.419,0.246,0.102,2.929,0.219,0.469,,,,,,
815.0,99.9651010959841,0.03489890401590733,2.608,0.166,0.281,2.843,0.153,0.253,2.506,0.193,0.266,3.43,0.17,0.11
1699.0,99.99159082857405,0.008409171425949526,1.236,0.294,0.309,2.381,0.539,0.508,1.1995,0.062,0.0564,8.363,2.115,1.833
1768.0,64.38355804731543,35.61644195268456,0.808,0.059,0.125,0.796,0.104,0.128,1.04199,0.0423,0.04371,5.23,1.51,1.16
1797.0,99.99961774812179,0.00038225187820595144,1.448,0.168,0.541,1.606,0.318,0.289,1.379,0.065,0.065,22.3,5.6,6.6
