target,Prob_1,Prob_2,rho1_transit,err_rho1_transit_up,err_rho1_transit_low,rho2_transit,err_rho2_transit_up,err_rho2_transit_low,rho1_model,err_rho1_model_up,err_rho1_model_low,rho2_model,err_rho2_model_up,err_rho2_model_low
309.01,0.35024859314149087,99.6497514068585,1.172,0.227,0.149,2.383,0.423,0.342,1.9641548378844944,0.20674161081698744,0.20674161081698744,2.1395704843303243,0.2598429612717204,0.2598429612717204
601.01,1.3630548913203913,98.63694510867961,0.419,0.246,0.102,2.929,0.219,0.469,1.0243018980509448,0.05927690198240041,0.05927690198240041,3.031257221632835,0.11329341920780968,0.11329341920780968
815.0,99.99999999777741,2.222588719116104e-09,2.608,0.166,0.281,2.843,0.153,0.253,2.4652715601510375,0.10170666548592577,0.10170666548592577,6.323045829972367,0.24469222570296786,0.24469222570296786
1699.0,99.99999994102151,5.897848531988727e-08,1.236,0.294,0.309,2.381,0.539,0.508,1.7017436348948487,0.015212870812614692,0.04278619916047882,12.26309304911982,0.6966170157700197,0.8901217423728031
1768.0,51.35600051588314,48.64399948411687,0.808,0.059,0.125,0.796,0.104,0.128,1.0779348945609943,0.1054622091519736,0.1054622091519736,12.185958908103299,12.644599671034007,10.915095156758838
1797.0,99.97115611799477,0.028843882005240958,1.448,0.168,0.541,1.606,0.318,0.289,1.4332030985282325,0.0810957718664653,0.0810957718664653,32.557371752025276,20.112438570764166,20.112438570764166
